"one country, two systems",“一国两制”,6
1992 Consensus,”九二共识”,6
agricultural modernization,农业现代化,6
Chinese Dream of national rejuvenation,中华民族伟大复兴的中国梦,6
civil-military integration / national military-civilian integration strategy,军民融合,6
common prosperity,共同富裕,6
"confidence in the path, theory, system and culture of socialism with Chinese characteristics / Four-Sphere Confidence",道路自信、理论自信、制度自信、文化自信,6
democratic centralism,民主集中制,6
Deng Xiaoping Theory,邓小平理论,6
dialectical materialism,辩证唯物主义,6
Five-Sphere Integrated Plan, ”五位一体“,6
Four-Pronged Comprehensive Strategy,”四个全面“,6
global community of shared future / community with a shared future for mankind,人类命运共同体,6
governance capacity,治理能力,6
governance system,治理体系,6
harmony with diversity,和而不同,6
historical materialism,历史唯物主义,6
lucid waters and lush mountains are invaluable assets,绿水青山就是金山银山,6
Mao Zedong Thought,毛泽东思想,6
Marxism-Leninism,马克思列宁主义,6
national reunification,祖国统一,6
new industrialization,新兴工业化,6
people-centered philosophy of development,以人民为中心的发展理念,6
political ecosystem,政治生态,6
poverty alleviation,脱贫,6
reform and opening up,改革开放,6
resource allocation ,资源配置,6
rule of law,法治,6
socialist distribution system,社会主义分配制度,6
socialist modernization,社会主义现代化,6
special administrative regions,特别行政区,6
sustainable development,可持续发展,6
the “key few”,“关键少数“,6
the building of a moderately prosperous society in all respects ,全面建成小康社会,6
the core socialist values,社会主义核心价值体系,6
the judicial system,司法体制,6
the Party's mass line,党的群众路线,6
the Scientific Outlook on Development,科学发展观,6
the system of political consultation,政治协商制度,6
the Theory of Three Represents,“三个代表”重要思想,6
the united front,统一战线,6
theoretical innovations,理论创新,6
Thought on Socialism with Chinese Characteristics for a New Era,新时代中国特色社会主义思想,6
Three Guidelines for Ethical Behavior and Three Basic Rules of Conduct,”三严三实“,6
Two Centenary Goals,“两个一百年“目标,6
urbanization,城镇化,6
well-rounded human development,人的全面发展,6
zero tolerance,零容忍,6
China's various ethnic groups,全国各族人民,7
ideals and beliefs,理想信念,7
the spirit of the Long March,长征精神,7
various ethnicities,各民族,7
various political parties,各党派,7
various social groups,各阶层,7
Buddhism,佛教,8
"China's Four Great Inventions-papermaking, gunpowder, printing and the compass",中国的四大发明,8
Christianity,基督教,8
Confucianism,儒家（文化）,8
ethnic groups,民族,8
European Renaissance,欧洲文艺复兴,8
exchanges and mutual learning among civilizations,文明交流互鉴,8
Islam,伊斯兰教,8
Taoism,道家、道教,8
the Han Dynasty,汉代,8
the Ming Dynasty,明代,8
the Spring and Autumn Period,春秋时代,8
the Tang Dynasty,唐代,8
the terracotta warriors and horses of the Qin Dynasty,秦俑,8
the Western Han Dynasty,西汉,8
UNESCO,联合国教科文组织,8
World Cultural Heritage Sites,世界文化遗产,8
World Intangible Cultural Heritage Sites,世界非物质文化遗产,8
BRICS countries,金砖国家,9
climate governance,气候治理,9
Cold War,冷战,9
core interests,核心利益,9
deep-seated problems,深层次问题,9
development disparity,发展失衡,9
dialogue and consultation,对话协商,9
digital divide,数字鸿沟,9
equity deficit,公平赤字,9
Five Principles of Peaceful Coexistence,和平共处五项原则,9
foreign investment,外来投资,9
G20 Summit,G20峰会,9
geopolitical conflicts,地缘冲突,9
globalization,全球化,9
governance dilemma,治理困境,9
green and low-carbon development,绿色低碳,9
growth models,发展方式,9
humanitarian assistance,人道主义援助,9
industrial transformation,产业变革,9
international affairs,国际事务,9
justice and equity,公平公正,9
main concerns,重大关切,9
material wealth ,物质财富,9
multilateralism,多边主义,9
Nobel laureate,诺贝尔获奖者,9
nondiscriminatory multilateral trading regime,非歧视性的多边贸易体制,9
nuclear weapons,核武器,9
outbound investment,对外投资,9
Pandora's box,潘多拉盒子,9
Paris Agreement,巴黎协议,9
"partnership based on dialogue, non-confrontation and non-alliance",对话、不对抗、不结盟的伙伴关系,9
refugee crises,难民危机,9
self-isolation,画地为牢,9
terrorism,恐怖主义,9
the 2030 Agenda for Sustainable Development,2030年可持续发展议程,9
The Art of War,《孙子兵法》,9
the Asian Infrastructure Investment Bank,亚投行,9
the Belt and Road Initiative,”一带一路“倡议,9
the fundamental norms,基本准则,9
the global macro policy framework,全球宏观政策框架,9
the Millennium Development Goals,千年发展目标,9
the new scientific and technological revolution,新一轮科技革命,9
the Opium War of 1840,1840年鸦片战争,9
"the principles of peace, sovereignty, inclusiveness and shared governance",和平、主权、普惠、共治原则,9
the Sword of Damocles,“达摩克利斯之剑”,9
the Thucydides trap,“修昔底德陷阱”,9
the UN Charter,联合国宪章,9
trade protectionism,贸易保护主义,9
UNHCR / Office of the United Nations High Commissioner for Refugees,联合国难民署,9
WHO / World Health Organization,世卫组织,9
win-win cooperation,合作共赢,9
"Taiwan question",台湾问题,10
harmony between humanity and nature,人与自然和谐共生,10
hegemony,霸权主义,10
high-quality development,高质量发展,10
interest group,利益集团,10
Marxism to the Chinese context,马克思主义中国化,10
national defense,国防,10
national sovereignty,国家主权,10
new project of Party building / or Party building for a new era,党的建设新的伟大工程,10
one-China principle,一个中国原则,10
power group,权势团体,10
power politics,强权政治,10
privileged stratum,特权阶层,10
public wellbeing,民生,10
social fairness and justice,社会公平正义,10
territorial integrity,领土完整,10
the armed forces,军队,10
the Four-Sphere Confidence,四个自信,10
the fundamental purpose of wholeheartedly serving the people,全心全意为人民服务的根本宗旨,10
the Party's mass line,党的群众路线,10
whole-process people's democracy,全过程人民民主,10
zero-sum game,零和博弈,10
